timesteps,ep_return_mean,ep_length_mean,ep_cushion_mean,ep_foul_rate,n_episodes_in_window
2048,0.5700,10.0000,1.1712,0.1800,200
4096,0.4231,10.0000,1.3356,0.1827,208
6144,0.5850,10.0000,1.3805,0.1750,200
8192,0.4279,10.0000,1.4245,0.1683,208
10240,0.6683,10.0000,1.2092,0.1731,208
12288,0.4950,10.0000,1.1984,0.1550,200
14336,0.5481,10.0000,1.2134,0.1779,208
16384,0.5850,10.0000,1.5050,0.1550,200
18432,0.5721,10.0000,1.4607,0.1779,208
20480,0.6010,10.0000,1.4905,0.2308,208
22528,0.7050,10.0000,1.3891,0.1850,200
24576,0.6971,10.0000,1.5284,0.2067,208
26624,0.6350,10.0000,1.4685,0.1750,200
28672,0.7644,10.0000,1.4725,0.1923,208
30720,0.7356,10.0000,1.6455,0.1683,208
32768,0.7900,10.0000,1.5890,0.2200,200
34816,0.8462,10.0000,1.7219,0.1971,208
36864,0.9600,10.0000,1.8323,0.2100,200
38912,0.9423,10.0000,1.8994,0.2067,208
40960,1.0625,10.0000,1.9066,0.1731,208
43008,1.3300,10.0000,2.0829,0.1800,200
45056,1.2115,10.0000,2.1279,0.2163,208
47104,1.3700,10.0000,2.5549,0.2100,200
49152,1.4567,10.0000,2.7170,0.2356,208
51200,1.5481,10.0000,2.4779,0.2260,208
53248,1.5450,10.0000,2.6014,0.2300,200
55296,1.4471,10.0000,2.6452,0.2740,208
57344,1.8100,10.0000,2.8749,0.2400,200
59392,1.6442,10.0000,2.6805,0.2452,208
61440,1.6827,10.0000,2.7962,0.2163,208
63488,1.8000,10.0000,2.7792,0.2550,200
65536,1.8125,10.0000,2.7188,0.2115,208
67584,1.8300,10.0000,2.5761,0.2400,200
69632,1.9231,10.0000,2.6509,0.2308,208
71680,1.8606,10.0000,2.6727,0.2115,208
73728,1.9950,10.0000,2.7462,0.2550,200
75776,1.7452,10.0000,2.8121,0.2212,208
77824,2.0000,10.0000,2.7941,0.2500,200
79872,2.0529,10.0000,2.6158,0.2163,208
81920,1.8894,10.0000,2.6037,0.2356,208
83968,1.9500,10.0000,2.6551,0.2150,200
86016,2.1058,10.0000,2.7349,0.2452,208
88064,2.2300,10.0000,2.5118,0.2150,200
90112,2.3942,10.0000,2.6674,0.2356,208
92160,2.3125,10.0000,2.5474,0.2260,208
94208,2.3650,10.0000,2.5159,0.2050,200
96256,2.4087,10.0000,2.4888,0.2115,208
98304,2.4400,10.0000,2.3553,0.2600,200
100352,2.3173,10.0000,2.4041,0.2019,208
102400,2.6298,10.0000,2.6397,0.2067,208
104448,2.8800,10.0000,2.4372,0.2150,200
106496,2.6106,10.0000,2.0894,0.1971,208
108544,2.7650,10.0000,2.4430,0.2300,200
110592,2.4375,10.0000,2.2480,0.2212,208
112640,2.6538,10.0000,2.2481,0.2500,208
114688,2.5200,10.0000,2.2160,0.2150,200
116736,2.6490,10.0000,2.1019,0.2500,208
118784,2.6550,10.0000,2.0378,0.2350,200
120832,2.7404,10.0000,2.1767,0.2260,208
122880,2.8654,10.0000,2.3126,0.2356,208
124928,2.7050,10.0000,2.1547,0.2150,200
126976,2.7163,10.0000,2.1448,0.1923,208
129024,2.8350,10.0000,2.1768,0.2050,200
131072,3.1442,10.0000,2.2931,0.2212,208
133120,2.9327,10.0000,2.2240,0.2260,208
135168,2.7750,10.0000,2.0100,0.2000,200
137216,2.8846,10.0000,2.2744,0.2115,208
139264,3.0800,10.0000,2.2119,0.2150,200
141312,2.9712,10.0000,2.0798,0.1683,208
143360,3.0481,10.0000,1.8115,0.2260,208
145408,3.1350,10.0000,1.9940,0.2450,200
147456,3.0192,10.0000,1.9593,0.2308,208
149504,2.8950,10.0000,2.1239,0.2200,200
151552,3.1154,10.0000,1.9852,0.2308,208
153600,3.1010,10.0000,1.9259,0.1875,208
155648,2.9500,10.0000,1.8363,0.2000,200
157696,2.9567,10.0000,2.0813,0.2212,208
159744,2.8950,10.0000,1.8888,0.2050,200
161792,3.0048,10.0000,1.9266,0.2260,208
163840,3.0625,10.0000,1.8508,0.2260,208
165888,3.0550,10.0000,2.1158,0.2100,200
167936,3.0433,10.0000,1.9949,0.2115,208
169984,2.7950,10.0000,1.8343,0.2200,200
172032,3.0817,10.0000,2.0076,0.1923,208
174080,2.8798,10.0000,1.9532,0.2260,208
176128,3.0400,10.0000,1.7177,0.1700,200
178176,2.9856,10.0000,1.8026,0.2452,208
180224,3.1650,10.0000,1.8218,0.2350,200
182272,2.8894,10.0000,1.9617,0.2019,208
184320,3.0865,10.0000,2.0761,0.2308,208
186368,3.0550,10.0000,2.0027,0.2200,200
188416,3.1346,10.0000,1.9937,0.1971,208
190464,3.1700,10.0000,1.8279,0.2150,200
192512,2.9904,10.0000,1.9368,0.2404,208
194560,3.2115,10.0000,1.9524,0.2356,208
196608,3.1550,10.0000,1.8699,0.1950,200
198656,3.1010,10.0000,1.9258,0.2019,208
200704,3.1900,10.0000,2.1249,0.2250,200
202752,3.0673,10.0000,1.7196,0.1923,208
204800,3.1923,10.0000,2.0268,0.1971,208
206848,3.2150,10.0000,1.8329,0.1850,200
208896,3.3077,10.0000,2.1340,0.2404,208
210944,3.1200,10.0000,1.7718,0.2250,200
212992,3.1779,10.0000,1.7178,0.2356,208
215040,3.4471,10.0000,1.8299,0.2308,208
217088,3.3300,10.0000,1.7075,0.2300,200
219136,3.2885,10.0000,1.7959,0.2452,208
221184,3.2850,10.0000,1.8345,0.2200,200
223232,3.3462,10.0000,1.6839,0.2260,208
225280,3.4471,10.0000,1.7801,0.2212,208
227328,3.2500,10.0000,1.8697,0.2050,200
229376,3.4423,10.0000,1.6550,0.1971,208
231424,3.3300,10.0000,1.7145,0.2200,200
233472,3.1058,10.0000,1.8431,0.2163,208
235520,3.3942,10.0000,1.8129,0.2356,208
237568,3.2700,10.0000,1.6072,0.2050,200
239616,3.2404,10.0000,1.6999,0.2067,208
241664,3.2700,10.0000,1.7498,0.2050,200
243712,3.3846,10.0000,1.7096,0.1971,208
245760,3.4423,10.0000,1.6019,0.2115,208
247808,3.3600,10.0000,1.6436,0.2400,200
249856,3.1202,10.0000,1.4610,0.1923,208
251904,3.3750,10.0000,1.7470,0.1900,200
253952,3.2452,10.0000,1.5111,0.2019,208
256000,3.2452,10.0000,1.5371,0.2067,208
258048,3.5250,10.0000,1.5695,0.1850,200
260096,3.6538,10.0000,1.5148,0.1971,208
262144,3.4400,10.0000,1.6454,0.2000,200
264192,3.4952,10.0000,1.6140,0.2356,208
266240,3.5481,10.0000,1.7232,0.2067,208
268288,3.7150,10.0000,1.5709,0.2050,200
270336,3.4279,10.0000,1.5869,0.2067,208
272384,3.7650,10.0000,1.6038,0.1950,200
274432,3.6298,10.0000,1.6540,0.2067,208
276480,3.7308,10.0000,1.6143,0.1923,208
278528,3.7850,10.0000,1.5555,0.1750,200
280576,3.7740,10.0000,1.5433,0.2067,208
282624,3.6050,10.0000,1.6543,0.1950,200
284672,3.5433,10.0000,1.5389,0.2019,208
286720,3.7692,10.0000,1.7262,0.2115,208
288768,3.8000,10.0000,1.4756,0.1600,200
290816,3.9183,10.0000,1.3935,0.1827,208
292864,3.9250,10.0000,1.4962,0.2250,200
294912,3.8221,10.0000,1.4866,0.2115,208
296960,3.9663,10.0000,1.3843,0.1971,208
299008,3.9200,10.0000,1.7491,0.1900,200
301056,3.7115,10.0000,1.3457,0.2067,208
303104,3.8500,10.0000,1.6900,0.1800,200
